grid,reflection
2661480,1800
2661493,1801
2661494,1802
2661495,1803
2661496,1804
2661517,1805
2661532,1806
2661556,1807
2661575,1808
2661576,1809
2661577,1810
2661578,1811
2663354,1812
2663383,1813
2663396,1814
2663397,1815
2663406,1816
2663407,1817
2663408,1818
2663409,1819
2663433,1820
2663472,1821
2663495,1822
2663496,1823
2665270,1824
2665299,1825
2665313,1826
2665314,1827
2665319,1828
2665320,1829
2665321,1830
2665348,1831
2665349,1832
2665365,1833
2665388,1834
2665389,1835
2665412,1836
2667186,1837
2667215,1838
2667216,1839
2667230,1840
2667233,1841
2667234,1842
2667263,1843
2667264,1844
2667281,1845
2667304,1846
2667305,1847
2667315,1848
2667316,1849
2667317,1850
2667318,1851
2667319,1852
2667321,1853
2667322,1854
2667325,1855
2667326,1856
2667327,1857
2669102,1858
2669132,1859
2669146,1860
2669147,1861
2669148,1862
2669149,1863
2669178,1864
2669179,1865
2669197,1866
2669220,1867
2669224,1868
2669225,1869
2669226,1870
2669227,1871
2669228,1872
2669229,1873
2669230,1874
2669238,1875
2669239,1876
2669240,1877
2671018,1878
2671048,1879
2671063,1880
2671064,1881
2671093,1882
2671094,1883
2671113,1884
2671135,1885
2671136,1886
2671137,1887
2671138,1888
2671139,1889
2671140,1890
2672933,1891
2672934,1892
2672964,1893
2672980,1894
2672981,1895
2673003,1896
2673004,1897
2673005,1898
2673006,1899
2673007,1900
2673008,1901
2673030,1902
2673047,1903
2673048,1904
2673049,1905
2673050,1906
2674848,1907
2674881,1908
2674896,1909
2674897,1910
2674917,1911
2674918,1912
2674946,1913
2674960,1914
2674961,1915
2674962,1916
2674963,1917
2676764,1918
2676797,1919
2676812,1920
2676813,1921
2676814,1922
2676874,1923
2676875,1924
2676876,1925
2678681,1926
2678713,1927
2678714,1928
2678729,1929
2678730,1930
2678731,1931
2678747,1932
2678787,1933
2678788,1934
2678789,1935
2678790,1936
2680597,1937
2680630,1938
2680631,1939
2680632,1940
2680633,1941
2680646,1942
2680647,1943
2680662,1944
2680663,1945
2680697,1946
2680699,1947
2680700,1948
2680701,1949
2680702,1950
2682513,1951
2682550,1952
2682551,1953
2682552,1954
2682562,1955
2682563,1956
2682564,1957
2682577,1958
2682578,1959
2682612,1960
2682613,1961
2682614,1962
2682615,1963
2684429,1964
2684469,1965
2684478,1966
2684479,1967
2684480,1968
2684481,1969
2684524,1970
2684525,1971
2684526,1972
2684527,1973
2684528,1974
2684529,1975
2684530,1976
2686346,1977
2686385,1978
2686386,1979
2686394,1980
2686395,1981
2686396,1982
2686397,1983
2686398,1984
2686406,1985
2686407,1986
2686437,1987
2686438,1988
2686439,1989
2686440,1990
2686446,1991
2686447,1992
2688262,1993
2688302,1994
2688303,1995
2688310,1996
2688311,1997
2688312,1998
2688320,1999
2688321,2000
2688350,2001
2688351,2002
2688352,2003
2688353,2004
2688363,2005
2688364,2006
2690178,2007
2690220,2008
2690221,2009
2690222,2010
2690226,2011
2690227,2012
2690232,2013
2690233,2014
2690234,2015
2690235,2016
2690265,2017
2690266,2018
2690280,2019
2690281,2020
2692093,2021
2692139,2022
2692140,2023
2692141,2024
2692142,2025
2692143,2026
2692144,2027
2692145,2028
2692146,2029
2692147,2030
2692197,2031
2692198,2032
2694009,2033
2694057,2034
2694058,2035
2694059,2036
2694060,2037
2694094,2038
2694095,2039
2694114,2040
2694115,2041
2695924,2042
2695925,2043
2695972,2044
2695973,2045
2695974,2046
2695975,2047
2695976,2048
2696010,2049
2696011,2050
2696031,2051
2696032,2052
2697838,2053
2697839,2054
2697840,2055
2697888,2056
2697892,2057
2697893,2058
2697948,2059
2697949,2060
2699753,2061
2699754,2062
2699803,2063
2699804,2064
2699809,2065
2699810,2066
2699865,2067
2701669,2068
2701719,2069
2701726,2070
2701727,2071
2701782,2072
2703585,2073
2703634,2074
2703643,2075
2703698,2076
2705501,2077
2705550,2078
2705559,2079
2705560,2080
2705615,2081
2707417,2082
2707465,2083
2707476,2084
2707531,2085
2709333,2086
2709381,2087
2709392,2088
2709393,2089
2709447,2090
2711249,2091
2711250,2092
2711297,2093
2711309,2094
2711363,2095
2713166,2096
2713214,2097
2713225,2098
2713226,2099
2713278,2100
2713279,2101
2715082,2102
2715130,2103
2715142,2104
2715194,2105
